Repositorio,Status,Tamanho_Arquivos,Tamanho_Linhas_Adicionadas,Tamanho_Linhas_Removidas,Tempo_Analise_Horas,Descricao_Caracteres,Interacoes_Participantes,Interacoes_Comentarios,Revisoes
freeCodeCamp/freeCodeCamp,MERGED,1,1,20,4.5,560,2,0,1
freeCodeCamp/freeCodeCamp,MERGED,4,4,12,1.97,1265,2,0,1
freeCodeCamp/freeCodeCamp,MERGED,1,1,1,9.56,558,2,0,1
freeCodeCamp/freeCodeCamp,MERGED,2,10,10,17.1,20090,1,0,3
freeCodeCamp/freeCodeCamp,MERGED,1,1,3,1.37,814,2,0,1
freeCodeCamp/freeCodeCamp,MERGED,1,0,2,14.26,761,2,0,1
freeCodeCamp/freeCodeCamp,MERGED,3,38,39,2.17,3490,1,1,3
freeCodeCamp/freeCodeCamp,MERGED,1,1,1,20.86,47,2,0,1
freeCodeCamp/freeCodeCamp,MERGED,2,10,10,3.64,19382,1,1,3
freeCodeCamp/freeCodeCamp,MERGED,20,324,14,22.92,45,2,0,1
freeCodeCamp/freeCodeCamp,MERGED,2,8,14,3.88,45691,1,1,3
freeCodeCamp/freeCodeCamp,MERGED,4,12,23,7.46,2601,1,1,3
freeCodeCamp/freeCodeCamp,MERGED,4,405,442,10.72,57997,1,1,3
freeCodeCamp/freeCodeCamp,MERGED,3,57,1,42.13,1679,3,1,1
freeCodeCamp/freeCodeCamp,MERGED,2,228,321,1.65,49755,1,1,1
freeCodeCamp/freeCodeCamp,MERGED,2,6,6,1.65,3779,1,0,3
freeCodeCamp/freeCodeCamp,CLOSED,2,7,7,4.98,1750,1,0,2
freeCodeCamp/freeCodeCamp,MERGED,1,36,36,4.5,1835,1,0,3
freeCodeCamp/freeCodeCamp,MERGED,2,8,8,4.63,1684,1,1,3
freeCodeCamp/freeCodeCamp,MERGED,3,102,8,71.83,1775,4,6,2
freeCodeCamp/freeCodeCamp,MERGED,1,3,1,57.89,761,4,2,2
freeCodeCamp/freeCodeCamp,MERGED,1,17,5,83.62,1807,4,7,1
freeCodeCamp/freeCodeCamp,MERGED,2,23,10,14.83,5117,1,1,3
freeCodeCamp/freeCodeCamp,CLOSED,2,2,2,23.61,1580,1,1,2
freeCodeCamp/freeCodeCamp,MERGED,4,9,45,15.06,29120,1,0,3
freeCodeCamp/freeCodeCamp,MERGED,1,2,2,21.3,907,4,4,1
freeCodeCamp/freeCodeCamp,MERGED,2,8,8,5.72,2661,1,0,3
freeCodeCamp/freeCodeCamp,MERGED,3,185,743,7.49,2660,1,1,3
freeCodeCamp/freeCodeCamp,CLOSED,3,17,6,6.36,1969,3,1,1
freeCodeCamp/freeCodeCamp,CLOSED,1,83,83,15.14,3852,0,1,2
freeCodeCamp/freeCodeCamp,CLOSED,1,162,720,24.34,15713,1,2,2
freeCodeCamp/freeCodeCamp,MERGED,2,8,27,5.7,3501,1,0,3
freeCodeCamp/freeCodeCamp,MERGED,2,9,9,5.7,2251,1,0,3
freeCodeCamp/freeCodeCamp,MERGED,2,9,8,6.65,2167,1,0,3
freeCodeCamp/freeCodeCamp,MERGED,2,6,12,1.64,2408,1,0,3
freeCodeCamp/freeCodeCamp,MERGED,2,7,6,1.64,3083,1,0,3
freeCodeCamp/freeCodeCamp,MERGED,3,13,12,2.33,1744,1,0,3
freeCodeCamp/freeCodeCamp,MERGED,2,43,42,2.33,2286,1,0,3
freeCodeCamp/freeCodeCamp,MERGED,1,1,1,8.12,47,3,0,2
freeCodeCamp/freeCodeCamp,MERGED,51,102,0,1.26,924,2,0,1
freeCodeCamp/freeCodeCamp,CLOSED,0,0,0,94.42,1462,3,5,6
freeCodeCamp/freeCodeCamp,MERGED,2,14,15,6.96,2227,1,0,3
freeCodeCamp/freeCodeCamp,MERGED,1,2,0,108.57,1271,6,3,4
freeCodeCamp/freeCodeCamp,MERGED,1,28,41,89.38,2017,3,0,1
freeCodeCamp/freeCodeCamp,MERGED,2,8,5,99.62,739,2,0,2
freeCodeCamp/freeCodeCamp,MERGED,2,6,18,30.76,2363,1,1,3
freeCodeCamp/freeCodeCamp,MERGED,1,670,1928,31.46,2467,1,1,3
freeCodeCamp/freeCodeCamp,MERGED,2,17,24,31.48,4324,1,0,3
freeCodeCamp/freeCodeCamp,MERGED,2,684,1930,31.84,3456,1,1,3
freeCodeCamp/freeCodeCamp,MERGED,2,684,1930,22.66,3438,1,1,3
freeCodeCamp/freeCodeCamp,MERGED,1,41,41,1.27,1992,1,0,3
freeCodeCamp/freeCodeCamp,MERGED,20,353,63,18.23,45,2,0,1
freeCodeCamp/freeCodeCamp,CLOSED,2,11,11,1.93,1702,1,0,2
freeCodeCamp/freeCodeCamp,MERGED,1,99,106,7.57,2882,1,0,3
freeCodeCamp/freeCodeCamp,MERGED,1,32,0,21.96,1069,3,0,7
freeCodeCamp/freeCodeCamp,MERGED,1,1,1,4.01,1125,2,1,1
freeCodeCamp/freeCodeCamp,MERGED,1,1,1,18.16,575,4,1,2
freeCodeCamp/freeCodeCamp,CLOSED,1,667,643,19.91,57985,1,0,3
freeCodeCamp/freeCodeCamp,MERGED,2,9,9,22.27,1885,1,1,3
freeCodeCamp/freeCodeCamp,MERGED,2,31,178,6.57,1702,1,1,3
freeCodeCamp/freeCodeCamp,CLOSED,3,69,5,11.56,761,2,1,1
freeCodeCamp/freeCodeCamp,CLOSED,1,1,1,43.19,1375,3,1,2
freeCodeCamp/freeCodeCamp,CLOSED,1,2,2,68.29,1143,3,1,1
freeCodeCamp/freeCodeCamp,MERGED,1,1,1,64.24,47,2,0,1
freeCodeCamp/freeCodeCamp,MERGED,12,5169,5407,6.39,45,2,0,1
freeCodeCamp/freeCodeCamp,MERGED,1,2,1,68.33,868,3,0,1
